strategy,accuracy_mean,accuracy_std,cost_pct_mean,cost_pct_std
Fixed 2000,0.4198611914401388,0.017425426008725455,0.25,0.0
Fixed 12500,0.4260005783689994,0.018867837580346613,1.5625,0.0
Fixed 25000,0.4290640061692693,0.0147513791551865,3.125,0.0
Fixed 50000,0.46552920763447075,0.025850534221221255,6.25,0.0
Fixed 100000,0.4975901291690765,0.017777832559627893,12.5,0.0
Fixed 150000,0.5410854058222478,0.02833374607389652,18.75,0.0
Fixed 250000,0.5740032774243301,0.0100503508576502,31.25,0.0
Fixed 400000,0.5968411413148255,0.0133824645292989,50.0,0.0
Fixed 600000,0.6139791787160208,0.024753349659162104,75.0,0.0
Fixed 800000,0.6179284750337382,0.01650076354495952,100.0,0.0
Best per cluster,0.610454019664546,0.018700918754286398,66.90612998843262,2.8874637087310884
Efficient (95%),0.5937642182379024,0.02042094806706959,46.99620324850588,4.212597838204701
Efficient (99%),0.610454019664546,0.018700918754286398,66.90612998843262,2.8874637087310884
