strategy,accuracy_mean,accuracy_std,cost_pct_mean,cost_pct_std
Fixed 2000,0.470365336417968,0.025619085886504175,0.25,0.0
Fixed 12500,0.4751927896664738,0.0238768576626603,1.5625,0.0
Fixed 25000,0.4923048004626952,0.018258433258066947,3.125,0.0
Fixed 50000,0.5278812415654521,0.012712607199290429,6.25,0.0
Fixed 100000,0.5950790437632543,0.011970739301097953,12.5,0.0
Fixed 150000,0.6341661846925005,0.024354298026381452,18.75,0.0
Fixed 250000,0.6794071717755928,0.009992948118695048,31.25,0.0
Fixed 400000,0.6934567187198766,0.0087044498384979,50.0,0.0
Fixed 600000,0.7061875843454791,0.010383760877667892,75.0,0.0
Fixed 800000,0.7123472141893195,0.016651336377887564,100.0,0.0
Best per cluster,0.6864285714285714,0.01403476761329981,66.08023032340466,3.7209364066752695
Efficient (95%),0.6758877964141122,0.02494341280215105,44.553931403026795,3.7125408364312062
Efficient (99%),0.6864285714285714,0.01403476761329981,66.08023032340466,3.7209364066752695
