cluster,n_questions,best_resolution,best_accuracy,efficient_res_95pct,acc_at_95pct,efficient_res_99pct,acc_at_99pct
0,19,250000,0.5263157894736842,250000,0.5263157894736842,250000,0.5263157894736842
1,47,800000,0.723404255319149,600000,0.7021276595744681,800000,0.723404255319149
2,41,50000,0.6585365853658537,50000,0.6585365853658537,50000,0.6585365853658537
3,79,600000,0.7088607594936709,600000,0.7088607594936709,600000,0.7088607594936709
4,88,600000,0.7954545454545454,400000,0.7613636363636364,600000,0.7954545454545454
5,113,400000,0.6637168141592921,400000,0.6637168141592921,400000,0.6637168141592921
6,101,400000,0.5445544554455446,150000,0.5346534653465347,400000,0.5445544554455446
7,152,800000,0.7763157894736842,400000,0.75,800000,0.7763157894736842
8,139,600000,0.8129496402877698,400000,0.8057553956834532,400000,0.8057553956834532
9,58,600000,0.46551724137931033,600000,0.46551724137931033,600000,0.46551724137931033
10,61,600000,0.4918032786885246,600000,0.4918032786885246,600000,0.4918032786885246
11,35,150000,0.5714285714285714,50000,0.5428571428571428,150000,0.5714285714285714
12,122,800000,0.47540983606557374,800000,0.47540983606557374,800000,0.47540983606557374
13,57,400000,0.7719298245614035,400000,0.7719298245614035,400000,0.7719298245614035
14,52,50000,0.6923076923076923,50000,0.6923076923076923,50000,0.6923076923076923
15,26,150000,0.5384615384615384,150000,0.5384615384615384,150000,0.5384615384615384
16,82,400000,0.7439024390243902,400000,0.7439024390243902,400000,0.7439024390243902
17,34,2000,0.5294117647058824,2000,0.5294117647058824,2000,0.5294117647058824
18,79,150000,0.569620253164557,150000,0.569620253164557,150000,0.569620253164557
19,72,800000,0.625,600000,0.5972222222222222,800000,0.625
20,127,800000,0.7086614173228346,400000,0.6929133858267716,800000,0.7086614173228346
21,91,800000,0.6923076923076923,600000,0.6813186813186813,800000,0.6923076923076923
22,93,800000,0.4946236559139785,800000,0.4946236559139785,800000,0.4946236559139785
23,64,800000,0.5,800000,0.5,800000,0.5
24,28,600000,0.8214285714285714,400000,0.7857142857142857,600000,0.8214285714285714
25,144,250000,0.4236111111111111,50000,0.4027777777777778,250000,0.4236111111111111
26,35,600000,0.5428571428571428,600000,0.5428571428571428,600000,0.5428571428571428
27,98,800000,0.7448979591836735,600000,0.7244897959183674,800000,0.7448979591836735
28,60,800000,0.7333333333333333,250000,0.7166666666666667,800000,0.7333333333333333
29,80,600000,0.525,400000,0.5125,600000,0.525
