doc_id,split
0,train
1,test
2,train
3,train
4,test
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,test
14,test
15,train
16,train
17,train
18,train
19,train
20,test
21,test
22,train
23,train
24,train
25,train
26,train
27,test
28,train
29,train
30,train
31,train
32,test
33,train
34,train
35,test
36,train
37,train
38,train
39,train
40,test
41,train
42,test
43,train
44,test
45,train
46,train
47,train
48,train
49,train
50,test
51,train
52,train
53,train
54,test
55,test
56,train
57,train
58,train
59,train
60,test
61,train
62,test
63,train
64,train
65,train
66,test
67,train
68,train
69,train
70,test
71,train
72,test
73,train
74,train
75,train
76,train
77,train
78,train
79,test
80,train
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,test
94,train
95,train
96,train
97,test
98,train
99,train
100,train
101,train
102,train
103,train
104,train
105,test
106,test
107,train
108,test
109,train
110,train
111,train
112,test
113,train
114,train
115,train
116,train
117,test
118,train
119,test
120,train
121,test
122,train
123,test
124,train
125,test
126,train
127,train
128,train
129,train
130,test
131,train
132,test
133,test
134,test
135,test
136,test
137,test
138,train
139,test
140,train
141,train
142,train
143,train
144,test
145,train
146,train
147,train
148,train
149,train
150,train
151,train
152,train
153,train
154,test
155,test
156,train
157,test
158,train
159,train
160,train
161,train
162,train
163,test
164,train
165,train
166,train
167,train
168,train
169,train
170,test
171,train
172,train
173,test
174,test
175,train
176,train
177,test
178,train
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,test
188,test
189,train
190,train
191,test
192,train
193,test
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,test
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,test
211,test
212,train
213,train
214,train
215,train
216,train
217,test
218,test
219,test
220,train
221,train
222,test
223,train
224,train
225,train
226,train
227,test
228,train
229,train
230,train
231,train
232,test
233,train
234,train
235,train
236,train
237,train
238,test
239,train
240,train
241,train
242,train
243,train
244,test
245,train
246,test
247,train
248,train
249,test
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,test
258,train
259,train
260,train
261,test
262,train
263,train
264,test
265,train
266,train
267,train
268,train
269,train
270,train
271,train
272,train
273,train
274,train
275,train
276,train
277,train
278,test
279,train
280,test
281,train
282,test
283,train
284,test
285,train
286,train
287,train
288,train
289,test
290,train
291,train
292,test
293,train
294,train
295,train
296,train
297,test
298,train
299,train
300,train
301,train
302,train
303,train
304,train
305,train
306,train
307,train
308,test
309,train
310,test
311,test
312,train
313,train
314,train
315,train
316,test
317,train
318,train
319,train
320,train
321,test
322,train
323,train
324,train
325,train
326,train
327,train
328,train
329,train
330,test
331,test
332,train
333,train
334,train
335,train
336,test
337,train
338,train
339,train
340,train
341,train
342,train
343,test
344,train
345,train
346,train
347,train
348,test
349,train
350,train
351,train
352,train
353,train
354,test
355,train
356,train
357,train
358,test
359,train
360,test
361,train
362,train
363,train
364,train
365,train
366,train
367,test
368,test
369,train
370,train
371,train
372,train
373,train
374,train
375,train
376,train
377,train
378,train
379,train
380,train
381,test
382,train
383,train
384,train
385,test
386,train
387,train
388,train
389,train
390,test
391,test
392,train
393,train
394,test
395,train
396,train
397,train
398,train
399,train
400,train
401,train
402,train
403,train
404,train
405,train
406,train
407,train
408,train
409,train
410,train
411,train
412,train
413,train
414,train
415,train
416,train
417,train
418,train
419,train
420,test
421,train
422,test
423,train
424,train
425,train
426,train
427,train
428,train
429,train
430,train
431,train
432,train
433,train
434,train
435,train
436,train
437,train
438,test
439,test
440,train
441,train
442,train
443,train
444,train
445,train
446,train
447,train
448,train
449,train
450,train
451,train
452,train
453,train
454,train
455,train
456,train
457,train
458,test
459,train
460,test
461,train
462,test
463,train
464,train
465,test
466,train
467,train
468,train
469,train
470,train
471,train
472,test
473,train
474,test
475,train
476,test
477,train
478,train
479,train
480,test
481,train
482,train
483,train
484,train
485,train
486,train
487,train
488,test
489,test
490,train
491,test
492,train
493,test
494,train
495,train
496,train
497,train
498,train
499,train
500,train
501,train
502,test
503,train
504,train
505,train
506,train
507,train
508,test
509,train
510,train
511,train
512,train
513,train
514,train
515,train
516,train
517,train
518,train
519,train
520,train
521,train
522,train
523,train
524,train
525,train
526,train
527,test
528,train
529,test
530,train
531,test
532,train
533,train
534,train
535,train
536,train
537,train
538,test
539,train
540,test
541,train
542,train
543,test
544,test
545,train
546,test
547,train
548,test
549,train
550,train
551,train
552,train
553,train
554,test
555,train
556,train
557,train
558,test
559,train
560,train
561,train
562,train
563,train
564,test
565,train
566,train
567,train
568,test
569,train
570,train
571,train
572,test
573,train
574,train
575,train
576,train
577,train
578,train
579,train
580,train
581,train
582,train
583,train
584,train
585,train
586,test
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,train
595,train
596,train
597,train
598,train
599,test
600,test
601,train
602,test
603,test
604,train
605,train
606,train
607,test
608,train
609,train
610,train
611,train
612,train
613,train
614,test
615,train
616,train
617,train
618,train
619,train
620,train
621,train
622,train
623,train
624,train
625,train
626,train
627,train
628,train
629,train
630,test
631,train
632,test
633,train
634,test
635,test
636,train
637,train
638,test
639,test
640,train
641,train
642,train
643,train
644,train
645,train
646,test
647,train
648,train
649,test
650,train
651,train
652,train
653,test
654,train
655,train
656,train
657,train
658,train
659,test
660,train
661,test
662,train
663,train
664,train
665,train
666,train
667,train
668,train
669,train
670,train
671,train
672,train
673,test
674,test
675,train
676,train
677,test
678,train
679,train
680,train
681,train
682,test
683,train
684,train
685,train
686,train
687,train
688,train
689,test
690,train
691,train
692,train
693,train
694,train
695,train
696,train
697,train
698,train
699,train
700,test
701,train
702,train
703,test
704,train
705,train
706,train
707,train
708,train
709,train
710,train
711,train
712,test
713,train
714,train
715,test
716,train
717,train
718,train
719,train
720,train
721,train
722,train
723,train
724,test
725,train
726,train
727,train
728,train
729,test
730,train
731,test
732,train
733,train
734,train
735,test
736,train
737,train
738,train
739,test
740,train
741,train
742,test
743,test
744,train
745,train
746,test
747,train
748,train
749,test
750,test
751,train
752,train
753,train
754,train
755,train
756,train
757,train
758,train
759,train
760,train
761,train
762,train
763,train
764,train
765,train
766,train
767,test
768,train
769,train
770,test
771,train
772,train
773,train
774,train
775,train
776,test
777,train
778,train
779,train
780,train
781,test
782,train
783,train
784,train
785,train
786,train
787,train
788,train
789,train
790,train
791,test
792,train
793,train
794,train
795,train
796,train
797,train
798,train
799,test
800,train
801,train
802,train
803,train
804,train
805,train
806,test
807,train
808,test
809,train
810,train
811,train
812,test
813,train
