k,silhouette,calinski_harabasz,davies_bouldin,inertia,min_cluster_n,median_cluster_n
2,0.035443466156721115,80.94864255046491,4.1239519873235055,1534.580078125,496,910.5
3,0.03547041863203049,61.75825000940052,5.148433732847821,1500.899169921875,446,654.0
4,0.03611905127763748,51.581212971627046,5.06805148164286,1477.077392578125,343,438.0
5,0.038890957832336426,45.56038212200921,4.772131816514023,1456.688232421875,269,369.0
6,0.04021228104829788,41.16907536564222,4.664861075607592,1439.6014404296875,225,299.0
7,0.030687034130096436,37.869432235625354,4.779812784794509,1424.44921875,189,235.0
8,0.03231625258922577,35.213207062170696,4.503575673269353,1411.0303955078125,102,244.5
9,0.03320736438035965,32.99345256484536,4.337414557731537,1399.073486328125,53,232.0
10,0.03635416924953461,31.367810529168004,4.3318701037319975,1386.7034912109375,143,180.0
11,0.03788982331752777,30.16281619746352,4.134615751011547,1373.9149169921875,30,179.0
12,0.03576530143618584,28.64425674338858,4.19957099089027,1365.101806640625,66,151.0
13,0.03985663503408432,27.941099812150284,4.024489620114399,1352.12109375,36,149.0
14,0.03876530006527901,26.85388567671272,3.9935858156412833,1343.3460693359375,53,130.5
15,0.04152907803654671,26.453445727481544,3.7803002446729463,1330.111572265625,28,119.0
16,0.04430019482970238,25.649492804896546,3.8894151569358466,1321.24365234375,55,124.5
17,0.041935499757528305,24.636829844981662,3.837707032643067,1315.4376220703125,46,112.0
18,0.04364181309938431,24.1720080618297,3.7008921311386658,1305.3641357421875,25,92.5
19,0.045873116701841354,23.747972403775226,3.7052619058573937,1295.5467529296875,28,88.0
20,0.04652847722172737,23.101216314311554,3.60626127590821,1288.7816162109375,28,85.5
21,0.04896560311317444,22.98204520464538,3.5272676206219664,1276.8262939453125,23,82.0
22,0.0463501438498497,22.072248305755625,3.580366754635264,1274.4947509765625,22,77.0
23,0.047498669475317,21.676763510762044,3.5745137730152594,1266.85888671875,22,75.0
24,0.046986158937215805,21.16613551612444,3.5284332897780915,1261.2021484375,22,66.5
25,0.04799281805753708,20.769974750140033,3.5141610664304466,1254.6451416015625,22,67.0
26,0.04903421550989151,20.398103815709675,3.455802109266434,1248.248779296875,22,66.0
27,0.05359084531664848,20.2924605516099,3.4521447024542367,1238.605712890625,24,68.0
28,0.0507589615881443,19.77323780472879,3.3921193641908913,1235.1097412109375,22,58.5
29,0.05229846015572548,19.54358983525753,3.362470238963487,1227.9073486328125,22,58.0
30,0.05291016399860382,19.239682043310932,3.3535291567807786,1222.138427734375,22,58.5
31,0.054158926010131836,18.992096912270753,3.3117401965511597,1215.859375,22,57.0
32,0.053980886936187744,18.52327440337148,3.3058346421896196,1213.40185546875,22,52.5
33,0.054054081439971924,18.253753177972207,3.3134805933391283,1208.17431640625,25,55.0
34,0.05659198388457298,18.09069130353288,3.2473994062644764,1201.48486328125,20,45.5
35,0.05804121866822243,17.583266742628624,3.2809456674256263,1200.89404296875,12,52.0
36,0.05806153267621994,17.298936715133806,3.265209491836013,1196.8919677734375,19,48.0
37,0.05545195937156677,17.090681184619736,3.313751987585438,1191.833251953125,22,49.0
38,0.058388229459524155,16.91515146969085,3.258808309261298,1186.4197998046875,17,46.0
39,0.058620043098926544,16.848806612613203,3.3244856408008,1179.197509765625,24,45.0
40,0.062494635581970215,16.61360522285138,3.143797567383857,1175.2967529296875,9,42.0
41,0.06056675314903259,16.49559617367751,3.237811084043877,1169.3922119140625,18,42.0
42,0.05861668288707733,15.935338543674387,3.228362567991508,1172.3271484375,8,41.0
43,0.05984839051961899,15.8121588864916,3.2225529089083738,1166.9844970703125,17,38.0
44,0.05783490091562271,15.493261399622273,3.2042152780642286,1165.803466796875,6,39.0
45,0.05939989164471626,15.575973131316076,3.134500976217514,1156.56396484375,12,42.0
46,0.06340347975492477,15.232333408135645,3.138954156443711,1156.3297119140625,5,35.0
47,0.05941281467676163,15.001125859344633,3.2475674030436696,1153.9912109375,12,37.0
48,0.06496626883745193,15.117150133540688,3.172873592709577,1144.30615234375,12,35.5
49,0.06120695918798447,14.853107431425334,3.1608606206916727,1142.9967041015625,8,36.0
50,0.060519784688949585,14.600742732806689,3.1976261016882126,1141.6683349609375,17,33.5
