k,best_acc,best_cost,best_lift,eff95_acc,eff95_cost,eff95_lift
2,0.6210873146622735,81.82317408017573,0.005540643194701156,0.5903349807797913,52.752608456891814,-0.008035938035748091
3,0.6188907193849533,85.57111477210326,0.0027677582997314154,0.6029654036243822,48.69920373421197,0.007961300840369612
5,0.615046677649643,79.61285008237233,-0.00016013071008480484,0.5919824272377814,53.84060955518946,-0.007177157942257151
8,0.6068094453596925,74.85928061504667,-0.0075860793036033325,0.598572213069742,48.94632070291049,0.003307558621862716
10,0.6046128500823723,71.02210323997804,-0.007001195099819446,0.5952773201537617,50.19439868204283,-0.0012392126635346612
12,0.6073585941790225,68.45332235035696,-0.002393402252867216,0.5936298736957716,50.602553542009886,-0.0031825209640049534
15,0.6101043382756727,70.54200988467875,-0.0011616985435343175,0.5947281713344317,47.61072213069742,0.00087172625428944
20,0.6062602965403624,68.67847336628226,-0.003654906558754889,0.5881383855024712,49.355299286106536,-0.007557481949107325
25,0.598572213069742,67.25562877539814,-0.010311603505505529,0.5903349807797913,51.15520318506316,-0.0068780165866465515
30,0.5897858319604613,61.20198380010983,-0.014709839986900008,0.5766062602965404,45.93393053267435,-0.015482233181073446
35,0.5947281713344317,59.63529654036244,-0.008631845927116077,0.5826468973091707,45.843012081274026,-0.009345734868778877
40,0.5919824272377814,57.59816035145524,-0.009900917992268665,0.5875892366831411,45.15822350356947,-0.0036813778840490974
50,0.5886875343218012,55.80546403075234,-0.011896327578579502,0.5820977484898407,45.865767435475014,-0.009918876153823253
60,0.5892366831411312,50.347885777045576,-0.0073911088554092785,0.5760571114772103,45.20562191103789,-0.015263478346618786
80,0.5738605161998902,48.978892092257006,-0.021438480404796012,0.5700164744645799,45.85475013728721,-0.021988533917403297
100,0.57111477210324,42.652079901153215,-0.017513450527300467,0.5672707303679297,41.282640032948926,-0.0199136017920164
130,0.5749588138385503,41.83261257550796,-0.012805390524423532,0.5738605161998902,41.26973503569467,-0.013310209373165183
160,0.5595826468973092,35.90015788028556,-0.021926580521772876,0.5595826468973092,35.90015788028556,-0.021926580521772876
200,0.5518945634266886,31.868547501372873,-0.02536387215960234,0.5518945634266886,31.799903898956615,-0.02529149669741726
