k,seed,best_acc,best_cost,best_lift
2,0,0.6161449752883031,78.07523338824822,0.0011745934383803336
3,0,0.6106534870950028,83.23723228995058,-0.005110612323550923
5,0,0.6161449752883031,84.65129049972542,0.00016344791876810039
10,0,0.6040637012630423,72.4168039538715,-0.008561329609615864
20,0,0.6090060406370126,68.81603514552444,-0.0010088777551303663
30,0,0.6079077429983526,61.80851867105985,0.0029724082120818895
50,0,0.586490939044481,54.800521691378364,-0.013364463829005802
2,1,0.6210873146622735,81.71334431630972,0.005557530802544397
3,1,0.613399231191653,86.51839648544757,-0.0028693855112165156
5,1,0.6101043382756727,85.85941790225151,-0.006062952780137576
10,1,0.6040637012630423,73.47542559033499,-0.009328699494366988
20,1,0.5969247666117518,69.51530752333882,-0.013597037853271488
30,1,0.6018671059857221,64.51561641954969,-0.005030540183308951
50,1,0.6062602965403624,52.061538989566166,0.008390317701138073
2,2,0.6210873146622735,81.82317408017573,0.005540643194701156
3,2,0.6183415705656233,87.34211971444262,0.0019462968039297701
5,2,0.6123009335529929,78.88522789676003,-0.00279399440477357
10,2,0.6079077429983526,72.40870400878639,-0.004711416414935776
20,2,0.6040637012630423,68.50782537067545,-0.005727803124267794
30,2,0.5897858319604613,62.16749038989566,-0.015409712967963896
50,2,0.585941790225151,53.7728239978034,-0.013168658801263278
2,3,0.6210873146622735,81.86436024162549,0.005534310341759885
3,3,0.6183415705656233,87.46567819879186,0.0019272982451061793
5,3,0.6172432729269632,79.1735310269083,0.002104014998608239
10,3,0.6062602965403624,72.53047775947282,-0.006447133795993487
20,3,0.6029654036243822,67.66879461834158,-0.006217907136853884
30,3,0.5980230642504119,60.26482701812191,-0.005793284823679912
50,3,0.598572213069742,53.812156781987916,-0.0005667473653069299
2,4,0.6210873146622735,81.74080175727622,0.005553308900583587
3,4,0.6128500823723229,81.71334431630972,-0.002679701487406261
5,4,0.6172432729269632,82.27622185612302,0.0016269400770376752
10,4,0.613399231191653,72.76208127402526,0.0005239169238256958
20,4,0.600219659527732,66.94439868204284,-0.008438553684951389
30,4,0.598572213069742,63.73544755628776,-0.007759907069906591
50,4,0.5930807248764415,54.33882482152663,-0.0064400048129682474
2,5,0.6177924217462932,85.59857221306973,0.001665238759110621
3,5,0.615595826468973,87.30093355299286,-0.0007931144397793632
5,5,0.6161449752883031,76.42092257001647,0.0014289630315186264
10,5,0.6101043382756727,71.7668863261944,-0.002049582619756629
20,5,0.6035145524437122,67.16790225151016,-0.005305673241072784
30,5,0.5996705107084019,63.07756727073037,-0.006184727510908372
50,5,0.5963756177924218,53.62424492037342,-0.0026271297610614974
2,6,0.6205381658429434,81.71334431630972,0.005008381983214294
3,6,0.6123009335529929,74.98627127951674,-0.0021866436512696374
5,6,0.6144975288303131,85.73585941790225,-0.0016507636666734937
10,6,0.6090060406370126,70.2727896760022,-0.0020648447953448557
20,6,0.6062602965403624,67.15458539264141,-0.002550276067153634
30,6,0.6018671059857221,62.04877127951674,-0.0032423822564316973
50,6,0.6013179571663921,52.60996705107084,0.0030504357455169995
2,7,0.6172432729269632,85.37891268533772,0.0011498651554670003
3,7,0.6112026359143328,84.76112026359144,-0.004795779063045402
5,7,0.613948380010983,84.74739154310818,-0.0020479240154148703
10,7,0.6024162548050521,70.6060200439319,-0.008896181470615105
20,7,0.6035145524437122,66.02670236133991,-0.00447844432562805
30,7,0.5936298736957716,62.463412959912134,-0.011780178532171282
50,7,0.5914332784184514,57.231809445359694,-0.010184507670441989
