cluster,n_questions,best_resolution,best_accuracy,efficient_res_95pct,acc_at_95pct,efficient_res_99pct,acc_at_99pct
0,15,600000,0.8666666666666667,600000,0.8666666666666667,600000,0.8666666666666667
1,107,800000,0.6728971962616822,400000,0.6635514018691588,800000,0.6728971962616822
2,34,800000,0.8529411764705882,800000,0.8529411764705882,800000,0.8529411764705882
3,63,250000,0.5873015873015873,250000,0.5873015873015873,250000,0.5873015873015873
4,110,800000,0.6818181818181818,400000,0.6545454545454545,800000,0.6818181818181818
5,56,400000,0.5714285714285714,250000,0.5535714285714286,400000,0.5714285714285714
6,102,800000,0.696078431372549,100000,0.6666666666666666,800000,0.696078431372549
7,35,150000,0.7428571428571429,150000,0.7428571428571429,150000,0.7428571428571429
8,72,250000,0.7638888888888888,150000,0.75,250000,0.7638888888888888
9,51,600000,0.8235294117647058,100000,0.7843137254901961,600000,0.8235294117647058
10,51,800000,0.7450980392156863,800000,0.7450980392156863,800000,0.7450980392156863
11,50,400000,0.84,400000,0.84,400000,0.84
12,37,50000,0.5945945945945946,50000,0.5945945945945946,50000,0.5945945945945946
13,26,400000,0.7307692307692307,400000,0.7307692307692307,400000,0.7307692307692307
14,131,800000,0.5877862595419847,250000,0.5648854961832062,800000,0.5877862595419847
15,94,600000,0.8191489361702128,400000,0.8085106382978723,600000,0.8191489361702128
16,47,600000,0.6170212765957447,100000,0.5957446808510638,600000,0.6170212765957447
17,44,250000,0.9090909090909091,250000,0.9090909090909091,250000,0.9090909090909091
18,34,250000,0.8235294117647058,250000,0.8235294117647058,250000,0.8235294117647058
19,106,250000,0.7830188679245284,250000,0.7830188679245284,250000,0.7830188679245284
20,21,2000,0.6666666666666666,2000,0.6666666666666666,2000,0.6666666666666666
21,52,800000,0.8461538461538461,800000,0.8461538461538461,800000,0.8461538461538461
22,127,600000,0.7401574803149606,400000,0.7165354330708661,600000,0.7401574803149606
23,55,400000,0.8727272727272727,150000,0.8363636363636363,400000,0.8727272727272727
24,71,600000,0.704225352112676,250000,0.676056338028169,600000,0.704225352112676
25,41,250000,0.7073170731707317,250000,0.7073170731707317,250000,0.7073170731707317
26,31,150000,0.8709677419354839,100000,0.8387096774193549,150000,0.8709677419354839
27,27,250000,0.8148148148148148,250000,0.8148148148148148,250000,0.8148148148148148
28,53,150000,0.49056603773584906,150000,0.49056603773584906,150000,0.49056603773584906
29,78,800000,0.5512820512820513,800000,0.5512820512820513,800000,0.5512820512820513
